Stazione,Monte S. Quirico,,,,,,,,,,,,,,
Codice,TOS02004291,,,,,,,,,,,,,,
Comune,Lucca,,,,,,,,,,,,,,
Provincia,LU,,,,,,,,,,,,,,
GB [m],E,1621131,N,4857138,,,,,,,,,,,
WGS84 [°],Lat,43.857,Lon,10.507,,,,,,,,,,,
Quota [m],25,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,ATTENZIONE,i,dati,sono,nel,fomato,csv,ed,utilizzano,,,,
,,,come,separatore,di,colonna,il,punto e virgola,e,,,,,,
,,,come,separatore,decimale,la,virgola,,,,,,,,
,,,verificare,le,proprie,impostazioni,internazionali,per,una,corretta,visulizzazione.,,,,
,,,Il,valore,-9999,corrisponde,a,dato,mancante,,,,,,
,,,Il,valore,contrassegnato,con,@,corrisponde,al,dato,mancante,,,,
,,,Il,valore,contrassegnato,con,V,corrisponde,al,dato,validato,,,,
,,,Il,valore,contrassegnato,con,P,corrisponde,al,dato,prevalidato,soggetto,ad,eventuali,modifiche
,,,(consultare,la,sezione,Criteri,di,validazione),,,,,,,
,,,,,,,,,,,,,,,
gg/mm/aaaa,Portata [mc/s],Tipo Dato,,,,,,,,,,,,,
19/10/2004,12,549,V,,,,,,,,,,,,
20/10/2004,12,923,V,,,,,,,,,,,,
21/10/2004,5,744,V,,,,,,,,,,,,
22/10/2004,6,161,V,,,,,,,,,,,,
23/10/2004,7,76,V,,,,,,,,,,,,
24/10/2004,3,874,V,,,,,,,,,,,,
25/10/2004,4,48,V,,,,,,,,,,,,
26/10/2004,9,177,V,,,,,,,,,,,,
27/10/2004,38,399,V,,,,,,,,,,,,
28/10/2004,18,965,V,,,,,,,,,,,,
29/10/2004,294,954,V,,,,,,,,,,,,
30/10/2004,129,910,V,,,,,,,,,,,,
31/10/2004,229,429,V,,,,,,,,,,,,
01/11/2004,251,560,V,,,,,,,,,,,,
02/11/2004,166,984,V,,,,,,,,,,,,
03/11/2004,98,788,V,,,,,,,,,,,,
04/11/2004,71,443,V,,,,,,,,,,,,
05/11/2004,50,618,V,,,,,,,,,,,,
06/11/2004,30,586,V,,,,,,,,,,,,
07/11/2004,25,100,V,,,,,,,,,,,,
08/11/2004,26,125,V,,,,,,,,,,,,
09/11/2004,23,870,V,,,,,,,,,,,,
10/11/2004,30,664,V,,,,,,,,,,,,
11/11/2004,26,989,V,,,,,,,,,,,,
12/11/2004,29,395,V,,,,,,,,,,,,
13/11/2004,30,206,V,,,,,,,,,,,,
14/11/2004,20,349,V,,,,,,,,,,,,
15/11/2004,21,454,V,,,,,,,,,,,,
16/11/2004,19,946,V,,,,,,,,,,,,
17/11/2004,13,223,V,,,,,,,,,,,,
18/11/2004,14,386,V,,,,,,,,,,,,
19/11/2004,17,880,V,,,,,,,,,,,,
20/11/2004,9,87,V,,,,,,,,,,,,
21/11/2004,8,192,V,,,,,,,,,,,,
22/11/2004,10,658,V,,,,,,,,,,,,
23/11/2004,14,727,V,,,,,,,,,,,,
24/11/2004,12,696,V,,,,,,,,,,,,
25/11/2004,11,424,V,,,,,,,,,,,,
26/11/2004,12,713,V,,,,,,,,,,,,
27/11/2004,10,505,V,,,,,,,,,,,,
28/11/2004,8,591,V,,,,,,,,,,,,
29/11/2004,23,294,V,,,,,,,,,,,,
30/11/2004,220,118,V,,,,,,,,,,,,
01/12/2004,113,387,V,,,,,,,,,,,,
02/12/2004,87,256,V,,,,,,,,,,,,
03/12/2004,85,530,V,,,,,,,,,,,,
04/12/2004,92,773,V,,,,,,,,,,,,
05/12/2004,122,588,V,,,,,,,,,,,,
06/12/2004,92,372,V,,,,,,,,,,,,
07/12/2004,69,798,V,,,,,,,,,,,,
08/12/2004,57,24,V,,,,,,,,,,,,
09/12/2004,52,6,V,,,,,,,,,,,,
10/12/2004,39,659,V,,,,,,,,,,,,
11/12/2004,26,222,V,,,,,,,,,,,,
12/12/2004,20,586,V,,,,,,,,,,,,
13/12/2004,22,281,V,,,,,,,,,,,,
14/12/2004,22,207,V,,,,,,,,,,,,
15/12/2004,23,412,V,,,,,,,,,,,,
16/12/2004,23,20,V,,,,,,,,,,,,
17/12/2004,28,658,V,,,,,,,,,,,,
18/12/2004,18,841,V,,,,,,,,,,,,
19/12/2004,13,401,V,,,,,,,,,,,,
