Stazione,Pontedera,,,,,,,,,,,,,,
Codice,TOS01005181,,,,,,,,,,,,,,
Comune,Pontedera,,,,,,,,,,,,,,
Provincia,PI,,,,,,,,,,,,,,
GB [m],E,1631547,N,4836012,,,,,,,,,,,
WGS84 [°],Lat,43.665,Lon,10.631,,,,,,,,,,,
Quota [m],10,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,ATTENZIONE,i,dati,sono,nel,fomato,csv,ed,utilizzano,,,,
,,,come,separatore,di,colonna,il,punto e virgola,e,,,,,,
,,,come,separatore,decimale,la,virgola,,,,,,,,
,,,verificare,le,proprie,impostazioni,internazionali,per,una,corretta,visulizzazione.,,,,
,,,Il,valore,-9999,corrisponde,a,dato,mancante,,,,,,
,,,Il,valore,contrassegnato,con,@,corrisponde,al,dato,mancante,,,,
,,,Il,valore,contrassegnato,con,V,corrisponde,al,dato,validato,,,,
,,,Il,valore,contrassegnato,con,P,corrisponde,al,dato,prevalidato,soggetto,ad,eventuali,modifiche
,,,(consultare,la,sezione,Criteri,di,validazione),,,,,,,
,,,,,,,,,,,,,,,
gg/mm/aaaa,Portata [mc/s],Tipo Dato,,,,,,,,,,,,,
20/01/2009,102,205,V,,,,,,,,,,,,
21/01/2009,470,871,V,,,,,,,,,,,,
22/01/2009,283,374,V,,,,,,,,,,,,
23/01/2009,195,403,V,,,,,,,,,,,,
24/01/2009,211,634,V,,,,,,,,,,,,
25/01/2009,364,23,V,,,,,,,,,,,,
26/01/2009,266,211,V,,,,,,,,,,,,
27/01/2009,298,305,V,,,,,,,,,,,,
28/01/2009,224,488,V,,,,,,,,,,,,
29/01/2009,168,835,V,,,,,,,,,,,,
30/01/2009,143,793,V,,,,,,,,,,,,
31/01/2009,108,88,V,,,,,,,,,,,,
01/02/2009,102,40,V,,,,,,,,,,,,
02/02/2009,126,719,V,,,,,,,,,,,,
03/02/2009,512,875,V,,,,,,,,,,,,
04/02/2009,608,982,V,,,,,,,,,,,,
05/02/2009,364,758,V,,,,,,,,,,,,
06/02/2009,371,61,V,,,,,,,,,,,,
07/02/2009,531,803,V,,,,,,,,,,,,
08/02/2009,627,469,V,,,,,,,,,,,,
09/02/2009,510,528,V,,,,,,,,,,,,
10/02/2009,291,696,V,,,,,,,,,,,,
11/02/2009,263,502,V,,,,,,,,,,,,
12/02/2009,206,887,V,,,,,,,,,,,,
13/02/2009,169,9,V,,,,,,,,,,,,
14/02/2009,151,22,V,,,,,,,,,,,,
15/02/2009,120,804,V,,,,,,,,,,,,
16/02/2009,121,570,V,,,,,,,,,,,,
17/02/2009,122,655,V,,,,,,,,,,,,
18/02/2009,109,279,V,,,,,,,,,,,,
19/02/2009,97,368,V,,,,,,,,,,,,
20/02/2009,93,81,V,,,,,,,,,,,,
21/02/2009,88,719,V,,,,,,,,,,,,
22/02/2009,82,917,V,,,,,,,,,,,,
23/02/2009,72,557,V,,,,,,,,,,,,
24/02/2009,61,508,V,,,,,,,,,,,,
25/02/2009,48,913,V,,,,,,,,,,,,
26/02/2009,64,384,V,,,,,,,,,,,,
27/02/2009,53,930,V,,,,,,,,,,,,
28/02/2009,55,809,V,,,,,,,,,,,,
01/03/2009,58,309,V,,,,,,,,,,,,
02/03/2009,46,618,V,,,,,,,,,,,,
03/03/2009,69,145,V,,,,,,,,,,,,
04/03/2009,161,117,V,,,,,,,,,,,,
05/03/2009,943,193,V,,,,,,,,,,,,
06/03/2009,851,630,V,,,,,,,,,,,,
07/03/2009,401,776,V,,,,,,,,,,,,
08/03/2009,226,470,V,,,,,,,,,,,,
09/03/2009,195,505,V,,,,,,,,,,,,
10/03/2009,162,39,V,,,,,,,,,,,,
11/03/2009,123,208,V,,,,,,,,,,,,
12/03/2009,109,316,V,,,,,,,,,,,,
13/03/2009,118,0,V,,,,,,,,,,,,
14/03/2009,107,99,V,,,,,,,,,,,,
15/03/2009,93,253,V,,,,,,,,,,,,
16/03/2009,81,362,V,,,,,,,,,,,,
17/03/2009,82,845,V,,,,,,,,,,,,
18/03/2009,74,705,V,,,,,,,,,,,,
19/03/2009,70,980,V,,,,,,,,,,,,
20/03/2009,75,56,V,,,,,,,,,,,,
21/03/2009,64,190,V,,,,,,,,,,,,
22/03/2009,60,732,V,,,,,,,,,,,,
23/03/2009,49,692,V,,,,,,,,,,,,
24/03/2009,59,271,V,,,,,,,,,,,,
25/03/2009,64,931,V,,,,,,,,,,,,
26/03/2009,49,777,V,,,,,,,,,,,,
27/03/2009,48,852,V,,,,,,,,,,,,
28/03/2009,50,219,V,,,,,,,,,,,,
29/03/2009,148,887,V,,,,,,,,,,,,
30/03/2009,628,312,V,,,,,,,,,,,,
31/03/2009,322,462,V,,,,,,,,,,,,
01/04/2009,441,967,V,,,,,,,,,,,,
02/04/2009,508,468,V,,,,,,,,,,,,
03/04/2009,308,936,V,,,,,,,,,,,,
04/04/2009,212,692,V,,,,,,,,,,,,
05/04/2009,175,489,V,,,,,,,,,,,,
06/04/2009,171,789,V,,,,,,,,,,,,
07/04/2009,118,741,V,,,,,,,,,,,,
08/04/2009,99,87,V,,,,,,,,,,,,
09/04/2009,112,113,V,,,,,,,,,,,,
10/04/2009,115,72,V,,,,,,,,,,,,
11/04/2009,112,797,V,,,,,,,,,,,,
12/04/2009,102,537,V,,,,,,,,,,,,
13/04/2009,78,878,V,,,,,,,,,,,,
14/04/2009,78,715,V,,,,,,,,,,,,
15/04/2009,67,955,V,,,,,,,,,,,,
16/04/2009,63,981,V,,,,,,,,,,,,
17/04/2009,77,133,V,,,,,,,,,,,,
18/04/2009,66,513,V,,,,,,,,,,,,
19/04/2009,67,194,V,,,,,,,,,,,,
20/04/2009,143,519,V,,,,,,,,,,,,
21/04/2009,123,363,V,,,,,,,,,,,,
22/04/2009,89,204,V,,,,,,,,,,,,
23/04/2009,81,360,V,,,,,,,,,,,,
24/04/2009,93,925,V,,,,,,,,,,,,
25/04/2009,68,377,V,,,,,,,,,,,,
26/04/2009,56,517,V,,,,,,,,,,,,
27/04/2009,71,971,V,,,,,,,,,,,,
28/04/2009,60,482,V,,,,,,,,,,,,
29/04/2009,43,404,V,,,,,,,,,,,,
30/04/2009,71,649,V,,,,,,,,,,,,
